aor|total_pop|total_pop_se|total_pop_low|total_pop_upp|forborn_pop|forborn_pop_se|forborn_pop_low|forborn_pop_upp|noncitizen_pop|noncitizen_pop_se|noncitizen_pop_low|noncitizen_pop_upp|undocu_pop|undocu_pop_se|undocu_pop_low|undocu_pop_upp|year
HOU|6574162|3217.469696826996|6567757.786765542|6580566.213234458|1583690|12196.170036121996|1559414.130787599|1607965.869212401|998370|12003.309002104375|974478.011073304|1022261.988926696|496742|9481.76898052257|477869.01093936537|515614.98906063463|2014
LOS|14704007|3526.028530797787|14696988.615769597|14711025.384230403|5527534|24825.489333545873|5478120.099536978|5576947.900463022|2760281|19503.28064967533|2721460.6909306766|2799101.3090693234|1072904|14743.504914029092|1043557.787544342|1102250.2124556582|2014
MIA|15841290|2124.7749645550703|15837060.74122511|15845519.25877489|3761127|19503.275412094248|3722306.701355821|3799947.298644179|1683854|18562.08463373659|1646907.0947384697|1720800.9052615303|560874|11792.960385331582|537400.6995217812|584347.3004782188|2014
NEW|6926870|1302.5022840670954|6924277.434054853|6929462.565945147|1846898|17214.835060203164|1812632.7279353417|1881163.2720646583|813351|12493.017123577474|788484.2714399666|838217.7285600334|331502|8425.866804074225|314730.7316484594|348273.2683515406|2014
NOL|16855789|4667.037207908246|16846499.49480837|16865078.50519163|797573|10120.745844551182|777428.1593060273|817717.8406939727|509438|12214.393695554438|485125.8575008501|533750.1424991499|272343|9263.036842742236|253905.3863689943|290780.6136310057|2014
NYC|10710332|3175.578907852866|10704011.168295262|10716652.831704738|3938687|21901.490678718652|3895093.173274191|3982280.826725809|1739984|21421.400610137516|1697345.768652128|1782622.231347872|581359|11810.32520297388|557851.1357168545|604866.8642831455|2014
PHI|12296961|4436.392306818683|12288130.58200023|12305791.41799977|850216|12317.629290979656|825698.3721882327|874733.6278117673|403191|11075.72546382403|381145.31992208026|425236.68007791974|136649|7195.446139747|122326.82271844102|150971.17728155898|2014
PHO|5110238|2030.14605385918|5106197.095360298|5114278.904639702|862345|11375.135432160798|839703.3592876594|884986.6407123406|506706|9270.675166890487|488253.1826650876|525158.8173349124|221804|6642.626107195858|208582.18346845187|235025.81653154813|2014
SEA|9123039|2830.0943888852894|9117405.838028671|9128672.161971329|1280038|14617.335737062347|1250942.92100916|1309133.07899084|683354|12145.8899097596|659178.210875687|707529.789124313|262939|7209.108786805758|248589.6278997306|277288.37210026936|2014
SFR|13404403|4488.864850939489|13395468.138013752|13413337.861986248|3926354|20323.11423232178|3885901.853003744|3966806.146996256|1911667|19067.183551851595|1873714.7204907208|1949619.2795092792|636077|12527.155295596842|611142.3211082938|661011.6788917062|2014
