Date,ICE Area of Responsibility,ATD Technology,Family Unit - Individual,Number under ATD,Average Days in Program
04/23/2022,,Total,All,227508,421
04/23/2022,Atlanta,All,All,4782,523.3
04/23/2022,Atlanta,GPS,All,542,323.7
04/23/2022,Atlanta,SmartLINK,All,3542,366.1
04/23/2022,Atlanta,TR,All,698,1475.6
04/23/2022,Baltimore,All,All,2760,631
04/23/2022,Baltimore,GPS,All,119,356
04/23/2022,Baltimore,SmartLINK,All,2292,550.9
04/23/2022,Baltimore,TR,All,349,1251.4
04/23/2022,Boston,All,All,7263,204.7
04/23/2022,Boston,GPS,All,1194,173.6
04/23/2022,Boston,SmartLINK,All,6008,209
04/23/2022,Boston,TR,All,61,393.9
04/23/2022,Buffalo,All,All,632,973.9
04/23/2022,Buffalo,GPS,All,19,298.1
04/23/2022,Buffalo,SmartLINK,All,116,246.7
04/23/2022,Buffalo,TR,All,497,1169.5
04/23/2022,Chicago,All,All,10823,768.1
04/23/2022,Chicago,GPS,All,483,403.8
04/23/2022,Chicago,SmartLINK,All,8127,536.4
04/23/2022,Chicago,TR,All,2213,1698.5
04/23/2022,Dallas,All,All,2712,341.6
04/23/2022,Dallas,GPS,All,241,276
04/23/2022,Dallas,SmartLINK,All,2402,327.7
04/23/2022,Dallas,TR,All,69,1055.6
04/23/2022,Denver,All,All,3450,610
04/23/2022,Denver,GPS,All,22,303.8
04/23/2022,Denver,SmartLINK,All,3006,429.4
04/23/2022,Denver,TR,All,422,1912
04/23/2022,Detroit,All,All,8630,979.8
04/23/2022,Detroit,GPS,All,155,329.5
04/23/2022,Detroit,SmartLINK,All,7103,813.8
04/23/2022,Detroit,TR,All,1372,1912.3
04/23/2022,El Paso,All,All,14317,126.7
04/23/2022,El Paso,GPS,All,1234,186.3
04/23/2022,El Paso,SmartLINK,All,12188,62.7
04/23/2022,El Paso,TR,All,895,916.3
04/23/2022,Harlingen,All,All,25048,57.8
04/23/2022,Harlingen,GPS,All,3080,105.5
04/23/2022,Harlingen,SmartLINK,All,21098,48.5
04/23/2022,Harlingen,TR,All,870,114.9
04/23/2022,Houston,All,All,3165,228.9
04/23/2022,Houston,GPS,All,1095,227.9
04/23/2022,Houston,SmartLINK,All,2043,222.3
04/23/2022,Houston,TR,All,27,775.1
04/23/2022,Los Angeles,All,All,14756,672.8
04/23/2022,Los Angeles,GPS,All,1522,301.9
04/23/2022,Los Angeles,SmartLINK,All,7975,380.6
04/23/2022,Los Angeles,TR,All,5259,1223.3
04/23/2022,Miami,All,All,14515,274.7
04/23/2022,Miami,GPS,All,1933,207.4
04/23/2022,Miami,SmartLINK,All,12398,282
04/23/2022,Miami,TR,All,184,490.4
04/23/2022,New Orleans,All,All,3648,548.7
04/23/2022,New Orleans,GPS,All,102,219.2
04/23/2022,New Orleans,SmartLINK,All,3345,519.8
04/23/2022,New Orleans,TR,All,201,1198
04/23/2022,New York,All,All,9374,275.3
04/23/2022,New York,GPS,All,305,364.1
04/23/2022,New York,SmartLINK,All,8678,214.8
04/23/2022,New York,TR,All,391,1548
04/23/2022,Newark,All,All,14078,739.2
04/23/2022,Newark,GPS,All,371,354.9
04/23/2022,Newark,SmartLINK,All,11806,561.5
04/23/2022,Newark,TR,All,1901,1917.7
04/23/2022,Philadelphia,All,All,5035,383.5
04/23/2022,Philadelphia,GPS,All,47,210.9
04/23/2022,Philadelphia,SmartLINK,All,4818,359.5
04/23/2022,Philadelphia,TR,All,170,1110.3
04/23/2022,Phoenix,All,All,19006,56.3
04/23/2022,Phoenix,GPS,All,7443,52
04/23/2022,Phoenix,SmartLINK,All,9442,59.8
04/23/2022,Phoenix,TR,All,2121,55.8
04/23/2022,Salt Lake City,All,All,5024,749.6
04/23/2022,Salt Lake City,GPS,All,107,323.8
04/23/2022,Salt Lake City,SmartLINK,All,4551,705.6
04/23/2022,Salt Lake City,TR,All,366,1422.3
04/23/2022,San Antonio,All,All,24000,102.7
04/23/2022,San Antonio,GPS,All,1433,144.6
04/23/2022,San Antonio,SmartLINK,All,17100,75.8
04/23/2022,San Antonio,TR,All,5467,175.8
04/23/2022,San Diego,All,All,6245,415.9
04/23/2022,San Diego,GPS,All,506,553.4
04/23/2022,San Diego,SmartLINK,All,5180,300.3
04/23/2022,San Diego,TR,All,559,1362.6
04/23/2022,San Francisco,All,All,14549,1022.1
04/23/2022,San Francisco,GPS,All,1052,552.3
04/23/2022,San Francisco,SmartLINK,All,8138,637.6
04/23/2022,San Francisco,TR,All,5359,1698.3
04/23/2022,Seattle,All,All,5837,784.7
04/23/2022,Seattle,GPS,All,192,193.6
04/23/2022,Seattle,SmartLINK,All,4572,597.2
04/23/2022,Seattle,TR,All,1073,1689.2
04/23/2022,St Paul,All,All,2927,1100.2
04/23/2022,St Paul,GPS,All,234,378.9
04/23/2022,St Paul,SmartLINK,All,1869,814.6
04/23/2022,St Paul,TR,All,824,1952.8
04/23/2022,Washington DC,All,All,4932,456.5
04/23/2022,Washington DC,GPS,All,396,486.1
04/23/2022,Washington DC,SmartLINK,All,4471,444
04/23/2022,Washington DC,TR,All,65,1138.2
04/09/2022,,Total,All,216450,439.2
04/09/2022,Atlanta,All,All,4734,540.5
04/09/2022,Atlanta,GPS,All,558,323.7
04/09/2022,Atlanta,SmartLINK,All,3427,374.2
04/09/2022,Atlanta,TR,All,749,1463.3
04/09/2022,Baltimore,All,All,2685,639.6
04/09/2022,Baltimore,GPS,All,106,382.6
04/09/2022,Baltimore,SmartLINK,All,2203,547.7
04/09/2022,Baltimore,TR,All,376,1250.4
04/09/2022,Boston,All,All,7362,197.1
04/09/2022,Boston,GPS,All,1403,160.4
04/09/2022,Boston,SmartLINK,All,5903,203.3
04/09/2022,Boston,TR,All,56,451.8
04/09/2022,Buffalo,All,All,620,998.6
04/09/2022,Buffalo,GPS,All,24,242.1
04/09/2022,Buffalo,SmartLINK,All,105,260.3
04/09/2022,Buffalo,TR,All,491,1193.4
04/09/2022,Chicago,All,All,10565,783.5
04/09/2022,Chicago,GPS,All,509,419.7
04/09/2022,Chicago,SmartLINK,All,7812,548.1
04/09/2022,Chicago,TR,All,2244,1685.4
04/09/2022,Dallas,All,All,2650,338.3
04/09/2022,Dallas,GPS,All,245,276.5
04/09/2022,Dallas,SmartLINK,All,2335,323.9
04/09/2022,Dallas,TR,All,70,1036.5
04/09/2022,Denver,All,All,3357,634
04/09/2022,Denver,GPS,All,17,374.2
04/09/2022,Denver,SmartLINK,All,2890,438.5
04/09/2022,Denver,TR,All,450,1899.1
04/09/2022,Detroit,All,All,8513,994.3
04/09/2022,Detroit,GPS,All,155,330.3
04/09/2022,Detroit,SmartLINK,All,6945,826.1
04/09/2022,Detroit,TR,All,1413,1893.9
04/09/2022,El Paso,All,All,12780,135.1
04/09/2022,El Paso,GPS,All,1356,172.4
04/09/2022,El Paso,SmartLINK,All,10562,63.5
04/09/2022,El Paso,TR,All,862,954.3
04/09/2022,Harlingen,All,All,22148,57.3
04/09/2022,Harlingen,GPS,All,3717,85.6
04/09/2022,Harlingen,SmartLINK,All,17512,48.9
04/09/2022,Harlingen,TR,All,919,102.3
04/09/2022,Houston,All,All,3222,217.9
04/09/2022,Houston,GPS,All,1134,215.9
04/09/2022,Houston,SmartLINK,All,2065,212.3
04/09/2022,Houston,TR,All,23,813.1
04/09/2022,Los Angeles,All,All,14954,703.6
04/09/2022,Los Angeles,GPS,All,1612,342.3
04/09/2022,Los Angeles,SmartLINK,All,7897,409.6
04/09/2022,Los Angeles,TR,All,5445,1236.9
04/09/2022,Miami,All,All,14130,274.8
04/09/2022,Miami,GPS,All,1961,198
04/09/2022,Miami,SmartLINK,All,11998,283.9
04/09/2022,Miami,TR,All,171,514.2
04/09/2022,New Orleans,All,All,3486,561.3
04/09/2022,New Orleans,GPS,All,108,206
04/09/2022,New Orleans,SmartLINK,All,3176,533.5
04/09/2022,New Orleans,TR,All,202,1187.9
04/09/2022,New York,All,All,9090,272.5
04/09/2022,New York,GPS,All,325,354.2
04/09/2022,New York,SmartLINK,All,8371,210.1
04/09/2022,New York,TR,All,394,1532.5
04/09/2022,Newark,All,All,13902,741.3
04/09/2022,Newark,GPS,All,388,356.6
04/09/2022,Newark,SmartLINK,All,11612,562.3
04/09/2022,Newark,TR,All,1902,1912.8
04/09/2022,Philadelphia,All,All,4819,386.9
04/09/2022,Philadelphia,GPS,All,47,197.1
04/09/2022,Philadelphia,SmartLINK,All,4603,362
04/09/2022,Philadelphia,TR,All,169,1119.1
04/09/2022,Phoenix,All,All,18695,52.7
04/09/2022,Phoenix,GPS,All,8299,42.9
04/09/2022,Phoenix,SmartLINK,All,8157,64.4
04/09/2022,Phoenix,TR,All,2239,46.7
04/09/2022,Salt Lake City,All,All,4829,772.3
04/09/2022,Salt Lake City,GPS,All,147,344.2
04/09/2022,Salt Lake City,SmartLINK,All,4306,729.5
04/09/2022,Salt Lake City,TR,All,376,1430.2
04/09/2022,San Antonio,All,All,20125,111.9
04/09/2022,San Antonio,GPS,All,1614,130.9
04/09/2022,San Antonio,SmartLINK,All,12977,88.5
04/09/2022,San Antonio,TR,All,5534,161
04/09/2022,San Diego,All,All,6037,428
04/09/2022,San Diego,GPS,All,568,518.8
04/09/2022,San Diego,SmartLINK,All,4897,311.9
04/09/2022,San Diego,TR,All,572,1332.1
04/09/2022,San Francisco,All,All,14258,1032.5
04/09/2022,San Francisco,GPS,All,1038,567.5
04/09/2022,San Francisco,SmartLINK,All,7850,646.1
04/09/2022,San Francisco,TR,All,5370,1687.4
04/09/2022,Seattle,All,All,5785,788.6
04/09/2022,Seattle,GPS,All,225,193.3
04/09/2022,Seattle,SmartLINK,All,4472,602.8
04/09/2022,Seattle,TR,All,1088,1675.8
04/09/2022,St Paul,All,All,2863,1119.2
04/09/2022,St Paul,GPS,All,235,360.6
04/09/2022,St Paul,SmartLINK,All,1795,836
04/09/2022,St Paul,TR,All,833,1943.7
04/09/2022,Washington DC,All,All,4841,456.1
04/09/2022,Washington DC,GPS,All,397,478.9
04/09/2022,Washington DC,SmartLINK,All,4377,443.4
04/09/2022,Washington DC,TR,All,67,1155.9
03/26/2022,,Total,All,200332,468.7
03/26/2022,Atlanta,All,All,4736,543.5
03/26/2022,Atlanta,GPS,All,553,323.7
03/26/2022,Atlanta,SmartLINK,All,3392,367.5
03/26/2022,Atlanta,TR,All,791,1452.1
03/26/2022,Baltimore,All,All,2585,651.5
03/26/2022,Baltimore,GPS,All,100,402.5
03/26/2022,Baltimore,SmartLINK,All,2099,557.2
03/26/2022,Baltimore,TR,All,386,1228.5
03/26/2022,Boston,All,All,7415,188.9
03/26/2022,Boston,GPS,All,1601,154
03/26/2022,Boston,SmartLINK,All,5739,195.8
03/26/2022,Boston,TR,All,75,411.3
03/26/2022,Buffalo,All,All,642,1038.2
03/26/2022,Buffalo,GPS,All,27,249.3
03/26/2022,Buffalo,SmartLINK,All,99,292.1
03/26/2022,Buffalo,TR,All,516,1222.7
03/26/2022,Chicago,All,All,10441,794.8
03/26/2022,Chicago,GPS,All,517,415.6
03/26/2022,Chicago,SmartLINK,All,7657,560.8
03/26/2022,Chicago,TR,All,2267,1671.5
03/26/2022,Dallas,All,All,2671,324.5
03/26/2022,Dallas,GPS,All,259,270.2
03/26/2022,Dallas,SmartLINK,All,2340,309.2
03/26/2022,Dallas,TR,All,72,1019
03/26/2022,Denver,All,All,3287,651.3
03/26/2022,Denver,GPS,All,16,385.2
03/26/2022,Denver,SmartLINK,All,2802,442.6
03/26/2022,Denver,TR,All,469,1906.9
03/26/2022,Detroit,All,All,8494,1000.7
03/26/2022,Detroit,GPS,All,157,326.6
03/26/2022,Detroit,SmartLINK,All,6881,832.1
03/26/2022,Detroit,TR,All,1456,1870.2
03/26/2022,El Paso,All,All,10929,150
03/26/2022,El Paso,GPS,All,1491,158.9
03/26/2022,El Paso,SmartLINK,All,8559,68.3
03/26/2022,El Paso,TR,All,879,931
03/26/2022,Harlingen,All,All,17340,64.4
03/26/2022,Harlingen,GPS,All,3358,89.2
03/26/2022,Harlingen,SmartLINK,All,13031,55.8
03/26/2022,Harlingen,TR,All,951,95.3
03/26/2022,Houston,All,All,3161,219.1
03/26/2022,Houston,GPS,All,1169,211.4
03/26/2022,Houston,SmartLINK,All,1969,217.1
03/26/2022,Houston,TR,All,23,786.1
03/26/2022,Los Angeles,All,All,14726,714.4
03/26/2022,Los Angeles,GPS,All,1639,339.6
03/26/2022,Los Angeles,SmartLINK,All,7467,423.9
03/26/2022,Los Angeles,TR,All,5620,1209.6
03/26/2022,Miami,All,All,13880,272.7
03/26/2022,Miami,GPS,All,2018,188
03/26/2022,Miami,SmartLINK,All,11641,284.8
03/26/2022,Miami,TR,All,221,410.2
03/26/2022,New Orleans,All,All,3398,563.6
03/26/2022,New Orleans,GPS,All,119,236
03/26/2022,New Orleans,SmartLINK,All,3073,536
03/26/2022,New Orleans,TR,All,206,1164.6
03/26/2022,New York,All,All,8796,270.7
03/26/2022,New York,GPS,All,356,333.1
03/26/2022,New York,SmartLINK,All,8033,204.5
03/26/2022,New York,TR,All,407,1522.1
03/26/2022,Newark,All,All,13758,740.9
03/26/2022,Newark,GPS,All,413,341
03/26/2022,Newark,SmartLINK,All,11430,562
03/26/2022,Newark,TR,All,1915,1895.3
03/26/2022,Philadelphia,All,All,4671,386.3
03/26/2022,Philadelphia,GPS,All,49,184.8
03/26/2022,Philadelphia,SmartLINK,All,4447,361.2
03/26/2022,Philadelphia,TR,All,175,1078.6
03/26/2022,Phoenix,All,All,16075,54.8
03/26/2022,Phoenix,GPS,All,7625,40.8
03/26/2022,Phoenix,SmartLINK,All,6499,72.5
03/26/2022,Phoenix,TR,All,1951,50.8
03/26/2022,Salt Lake City,All,All,4690,789.4
03/26/2022,Salt Lake City,GPS,All,158,370.3
03/26/2022,Salt Lake City,SmartLINK,All,4149,748
03/26/2022,Salt Lake City,TR,All,383,1410.6
03/26/2022,San Antonio,All,All,15511,133.8
03/26/2022,San Antonio,GPS,All,1908,119.7
03/26/2022,San Antonio,SmartLINK,All,10145,102.2
03/26/2022,San Antonio,TR,All,3458,234.1
03/26/2022,San Diego,All,All,5702,450.1
03/26/2022,San Diego,GPS,All,617,492.4
03/26/2022,San Diego,SmartLINK,All,4519,329.6
03/26/2022,San Diego,TR,All,566,1365.7
03/26/2022,San Francisco,All,All,14090,1035.1
03/26/2022,San Francisco,GPS,All,1075,568.6
03/26/2022,San Francisco,SmartLINK,All,7624,648.5
03/26/2022,San Francisco,TR,All,5391,1674.9
03/26/2022,Seattle,All,All,5643,804.6
03/26/2022,Seattle,GPS,All,227,212.6
03/26/2022,Seattle,SmartLINK,All,4322,615.1
03/26/2022,Seattle,TR,All,1094,1676.2
03/26/2022,St Paul,All,All,2852,1116.9
03/26/2022,St Paul,GPS,All,244,357.6
03/26/2022,St Paul,SmartLINK,All,1772,835.3
03/26/2022,St Paul,TR,All,836,1935.3
03/26/2022,Washington DC,All,All,4839,451.5
03/26/2022,Washington DC,GPS,All,404,482.7
03/26/2022,Washington DC,SmartLINK,All,4362,437.1
03/26/2022,Washington DC,TR,All,73,1140.8
03/12/2022,,Total,All,191988,484.7
03/12/2022,Atlanta,All,All,4695,539.7
03/12/2022,Atlanta,GPS,All,571,327.4
03/12/2022,Atlanta,SmartLINK,All,3326,360.4
03/12/2022,Atlanta,TR,All,798,1439
03/12/2022,Baltimore,All,All,2473,668.9
03/12/2022,Baltimore,GPS,All,109,391.8
03/12/2022,Baltimore,SmartLINK,All,1955,569.3
03/12/2022,Baltimore,TR,All,409,1218.8
03/12/2022,Boston,All,All,7324,183
03/12/2022,Boston,GPS,All,1841,144.8
03/12/2022,Boston,SmartLINK,All,5402,191.7
03/12/2022,Boston,TR,All,81,471.4
03/12/2022,Buffalo,All,All,629,1067.7
03/12/2022,Buffalo,GPS,All,37,175
03/12/2022,Buffalo,SmartLINK,All,78,351.4
03/12/2022,Buffalo,TR,All,514,1240.6
03/12/2022,Chicago,All,All,10191,803.5
03/12/2022,Chicago,GPS,All,569,390.1
03/12/2022,Chicago,SmartLINK,All,7351,568.7
03/12/2022,Chicago,TR,All,2271,1667
03/12/2022,Dallas,All,All,2670,313.7
03/12/2022,Dallas,GPS,All,247,270.7
03/12/2022,Dallas,SmartLINK,All,2352,296.8
03/12/2022,Dallas,TR,All,71,1021.9
03/12/2022,Denver,All,All,3248,673.2
03/12/2022,Denver,GPS,All,22,284.1
03/12/2022,Denver,SmartLINK,All,2739,456.7
03/12/2022,Denver,TR,All,487,1908.3
03/12/2022,Detroit,All,All,8484,1003
03/12/2022,Detroit,GPS,All,170,319
03/12/2022,Detroit,SmartLINK,All,6835,835
03/12/2022,Detroit,TR,All,1479,1858.1
03/12/2022,El Paso,All,All,10150,158.2
03/12/2022,El Paso,GPS,All,1791,145.1
03/12/2022,El Paso,SmartLINK,All,7449,69.8
03/12/2022,El Paso,TR,All,910,907.3
03/12/2022,Harlingen,All,All,15869,65.5
03/12/2022,Harlingen,GPS,All,3229,91.6
03/12/2022,Harlingen,SmartLINK,All,11595,56.8
03/12/2022,Harlingen,TR,All,1045,81.8
03/12/2022,Houston,All,All,3325,212.8
03/12/2022,Houston,GPS,All,1273,202.8
03/12/2022,Houston,SmartLINK,All,2033,212.6
03/12/2022,Houston,TR,All,19,913.1
03/12/2022,Los Angeles,All,All,14115,755.2
03/12/2022,Los Angeles,GPS,All,1740,345.6
03/12/2022,Los Angeles,SmartLINK,All,6852,455.2
03/12/2022,Los Angeles,TR,All,5523,1256.3
03/12/2022,Miami,All,All,13810,268.3
03/12/2022,Miami,GPS,All,2329,184.5
03/12/2022,Miami,SmartLINK,All,11264,283
03/12/2022,Miami,TR,All,217,404.4
03/12/2022,New Orleans,All,All,3318,568.5
03/12/2022,New Orleans,GPS,All,139,256.1
03/12/2022,New Orleans,SmartLINK,All,2974,542.9
03/12/2022,New Orleans,TR,All,205,1152
03/12/2022,New York,All,All,8247,275.2
03/12/2022,New York,GPS,All,375,331.3
03/12/2022,New York,SmartLINK,All,7441,201.5
03/12/2022,New York,TR,All,431,1498.1
03/12/2022,Newark,All,All,13609,739.3
03/12/2022,Newark,GPS,All,483,327.7
03/12/2022,Newark,SmartLINK,All,11207,561.5
03/12/2022,Newark,TR,All,1919,1880.8
03/12/2022,Philadelphia,All,All,4498,388
03/12/2022,Philadelphia,GPS,All,56,160.1
03/12/2022,Philadelphia,SmartLINK,All,4269,361.7
03/12/2022,Philadelphia,TR,All,173,1110.1
03/12/2022,Phoenix,All,All,14935,54.5
03/12/2022,Phoenix,GPS,All,7402,38.8
03/12/2022,Phoenix,SmartLINK,All,5572,78.3
03/12/2022,Phoenix,TR,All,1961,45.7
03/12/2022,Salt Lake City,All,All,4514,808.1
03/12/2022,Salt Lake City,GPS,All,173,362.3
03/12/2022,Salt Lake City,SmartLINK,All,3955,770.3
03/12/2022,Salt Lake City,TR,All,386,1395.3
03/12/2022,San Antonio,All,All,12945,150.9
03/12/2022,San Antonio,GPS,All,2294,104.6
03/12/2022,San Antonio,SmartLINK,All,7735,123.9
03/12/2022,San Antonio,TR,All,2916,258.8
03/12/2022,San Diego,All,All,5566,460.9
03/12/2022,San Diego,GPS,All,735,431.2
03/12/2022,San Diego,SmartLINK,All,4218,348.5
03/12/2022,San Diego,TR,All,613,1269.4
03/12/2022,San Francisco,All,All,13903,1043.2
03/12/2022,San Francisco,GPS,All,1190,565.5
03/12/2022,San Francisco,SmartLINK,All,7276,658.9
03/12/2022,San Francisco,TR,All,5437,1662
03/12/2022,Seattle,All,All,5579,810.1
03/12/2022,Seattle,GPS,All,248,252.8
03/12/2022,Seattle,SmartLINK,All,4218,617.9
03/12/2022,Seattle,TR,All,1113,1662.3
03/12/2022,St Paul,All,All,2841,1113.6
03/12/2022,St Paul,GPS,All,251,339.4
03/12/2022,St Paul,SmartLINK,All,1752,838
03/12/2022,St Paul,TR,All,838,1921.6
03/12/2022,Washington DC,All,All,5050,452.6
03/12/2022,Washington DC,GPS,All,424,485.6
03/12/2022,Washington DC,SmartLINK,All,4539,436.8
03/12/2022,Washington DC,TR,All,87,1119.7
02/26/2022,,Total,All,189727,486.4
02/26/2022,Atlanta,All,All,4697,531.9
02/26/2022,Atlanta,GPS,All,603,315.4
02/26/2022,Atlanta,SmartLINK,All,3290,352.8
02/26/2022,Atlanta,TR,All,804,1426.8
02/26/2022,Baltimore,All,All,2408,673
02/26/2022,Baltimore,GPS,All,121,387.9
02/26/2022,Baltimore,SmartLINK,All,1874,573.6
02/26/2022,Baltimore,TR,All,413,1207.4
02/26/2022,Boston,All,All,7208,175.1
02/26/2022,Boston,GPS,All,2016,137.4
02/26/2022,Boston,SmartLINK,All,5116,185
02/26/2022,Boston,TR,All,76,504.4
02/26/2022,Buffalo,All,All,616,1086.8
02/26/2022,Buffalo,GPS,All,33,203.8
02/26/2022,Buffalo,SmartLINK,All,66,401.2
02/26/2022,Buffalo,TR,All,517,1230.7
02/26/2022,Chicago,All,All,9951,811.5
02/26/2022,Chicago,GPS,All,587,387.1
02/26/2022,Chicago,SmartLINK,All,7088,575.8
02/26/2022,Chicago,TR,All,2276,1655
02/26/2022,Dallas,All,All,2702,299
02/26/2022,Dallas,GPS,All,257,263.8
02/26/2022,Dallas,SmartLINK,All,2372,280.9
02/26/2022,Dallas,TR,All,73,1009.6
02/26/2022,Denver,All,All,3166,710.3
02/26/2022,Denver,GPS,All,20,274.5
02/26/2022,Denver,SmartLINK,All,2635,482.9
02/26/2022,Denver,TR,All,511,1899.6
02/26/2022,Detroit,All,All,8510,1007.8
02/26/2022,Detroit,GPS,All,180,298.8
02/26/2022,Detroit,SmartLINK,All,6810,840.1
02/26/2022,Detroit,TR,All,1520,1843.3
02/26/2022,El Paso,All,All,9721,159.8
02/26/2022,El Paso,GPS,All,2007,128.1
02/26/2022,El Paso,SmartLINK,All,6641,68.8
02/26/2022,El Paso,TR,All,1073,782.1
02/26/2022,Harlingen,All,All,17124,58
02/26/2022,Harlingen,GPS,All,3279,90.3
02/26/2022,Harlingen,SmartLINK,All,12018,48.8
02/26/2022,Harlingen,TR,All,1827,60.4
02/26/2022,Houston,All,All,3254,213.9
02/26/2022,Houston,GPS,All,1245,203.3
02/26/2022,Houston,SmartLINK,All,1992,214
02/26/2022,Houston,TR,All,17,983
02/26/2022,Los Angeles,All,All,13496,806.5
02/26/2022,Los Angeles,GPS,All,1842,367.4
02/26/2022,Los Angeles,SmartLINK,All,6093,515.4
02/26/2022,Los Angeles,TR,All,5561,1270.9
02/26/2022,Miami,All,All,13631,264.4
02/26/2022,Miami,GPS,All,2476,173.8
02/26/2022,Miami,SmartLINK,All,10948,282.1
02/26/2022,Miami,TR,All,207,410.1
02/26/2022,New Orleans,All,All,3235,575.5
02/26/2022,New Orleans,GPS,All,162,345.7
02/26/2022,New Orleans,SmartLINK,All,2858,548.1
02/26/2022,New Orleans,TR,All,215,1113.2
02/26/2022,New York,All,All,7969,273.5
02/26/2022,New York,GPS,All,405,314.1
02/26/2022,New York,SmartLINK,All,7119,196.8
02/26/2022,New York,TR,All,445,1463.5
02/26/2022,Newark,All,All,13380,741.2
02/26/2022,Newark,GPS,All,555,309
02/26/2022,Newark,SmartLINK,All,10899,564.2
02/26/2022,Newark,TR,All,1926,1867.3
02/26/2022,Philadelphia,All,All,4296,391.4
02/26/2022,Philadelphia,GPS,All,59,166.8
02/26/2022,Philadelphia,SmartLINK,All,4056,363.4
02/26/2022,Philadelphia,TR,All,181,1093.5
02/26/2022,Phoenix,All,All,16079,51.7
02/26/2022,Phoenix,GPS,All,6936,35.6
02/26/2022,Phoenix,SmartLINK,All,4240,93.9
02/26/2022,Phoenix,TR,All,4903,38.1
02/26/2022,Salt Lake City,All,All,4393,826.4
02/26/2022,Salt Lake City,GPS,All,197,387.4
02/26/2022,Salt Lake City,SmartLINK,All,3819,789.8
02/26/2022,Salt Lake City,TR,All,377,1426.9
02/26/2022,San Antonio,All,All,11447,162.1
02/26/2022,San Antonio,GPS,All,2680,89.5
02/26/2022,San Antonio,SmartLINK,All,6036,148.9
02/26/2022,San Antonio,TR,All,2731,262.5
02/26/2022,San Diego,All,All,5472,470.6
02/26/2022,San Diego,GPS,All,885,384.9
02/26/2022,San Diego,SmartLINK,All,3637,395
02/26/2022,San Diego,TR,All,950,840.2
02/26/2022,San Francisco,All,All,13625,1055.3
02/26/2022,San Francisco,GPS,All,1237,579.7
02/26/2022,San Francisco,SmartLINK,All,6921,670.7
02/26/2022,San Francisco,TR,All,5467,1649.7
02/26/2022,Seattle,All,All,5458,820.2
02/26/2022,Seattle,GPS,All,247,258.6
02/26/2022,Seattle,SmartLINK,All,4081,625.9
02/26/2022,Seattle,TR,All,1130,1644.4
02/26/2022,St Paul,All,All,2835,1110.5
02/26/2022,St Paul,GPS,All,260,329.1
02/26/2022,St Paul,SmartLINK,All,1731,838.1
02/26/2022,St Paul,TR,All,844,1909.9
02/26/2022,Washington DC,All,All,5054,446.8
02/26/2022,Washington DC,GPS,All,457,472.3
02/26/2022,Washington DC,SmartLINK,All,4504,430.8
02/26/2022,Washington DC,TR,All,93,1096.2
02/12/2022,,Total,All,182607,497.4
02/12/2022,Atlanta,All,All,4623,529.7
02/12/2022,Atlanta,GPS,All,613,306.3
02/12/2022,Atlanta,SmartLINK,All,3194,349.8
02/12/2022,Atlanta,TR,All,816,1401.8
02/12/2022,Baltimore,All,All,2372,675.3
02/12/2022,Baltimore,GPS,All,177,500
02/12/2022,Baltimore,SmartLINK,All,1777,570.3
02/12/2022,Baltimore,TR,All,418,1195.9
02/12/2022,Boston,All,All,7118,167.6
02/12/2022,Boston,GPS,All,2179,127.5
02/12/2022,Boston,SmartLINK,All,4875,177.4
02/12/2022,Boston,TR,All,64,788.5
02/12/2022,Buffalo,All,All,601,1111.8
02/12/2022,Buffalo,GPS,All,27,234.4
02/12/2022,Buffalo,SmartLINK,All,69,389.5
02/12/2022,Buffalo,TR,All,505,1257.4
02/12/2022,Chicago,All,All,9666,825.8
02/12/2022,Chicago,GPS,All,601,381.3
02/12/2022,Chicago,SmartLINK,All,6783,588.4
02/12/2022,Chicago,TR,All,2282,1648.4
02/12/2022,Dallas,All,All,2745,284.1
02/12/2022,Dallas,GPS,All,264,251.6
02/12/2022,Dallas,SmartLINK,All,2406,266.2
02/12/2022,Dallas,TR,All,75,971.3
02/12/2022,Denver,All,All,3080,734.1
02/12/2022,Denver,GPS,All,23,238.6
02/12/2022,Denver,SmartLINK,All,2535,499.1
02/12/2022,Denver,TR,All,522,1897.1
02/12/2022,Detroit,All,All,8462,1010.7
02/12/2022,Detroit,GPS,All,191,316.8
02/12/2022,Detroit,SmartLINK,All,6720,842.8
02/12/2022,Detroit,TR,All,1551,1823.8
02/12/2022,El Paso,All,All,8730,171.3
02/12/2022,El Paso,GPS,All,2350,110
02/12/2022,El Paso,SmartLINK,All,5245,76.2
02/12/2022,El Paso,TR,All,1135,737.7
02/12/2022,Harlingen,All,All,16070,55.1
02/12/2022,Harlingen,GPS,All,3774,77.5
02/12/2022,Harlingen,SmartLINK,All,10340,48.4
02/12/2022,Harlingen,TR,All,1956,47.4
02/12/2022,Houston,All,All,3330,208.2
02/12/2022,Houston,GPS,All,1375,196
02/12/2022,Houston,SmartLINK,All,1939,209.9
02/12/2022,Houston,TR,All,16,1043.7
02/12/2022,Los Angeles,All,All,13059,828.9
02/12/2022,Los Angeles,GPS,All,1794,381.2
02/12/2022,Los Angeles,SmartLINK,All,5641,542
02/12/2022,Los Angeles,TR,All,5624,1259.6
02/12/2022,Miami,All,All,13044,261.9
02/12/2022,Miami,GPS,All,2412,170
02/12/2022,Miami,SmartLINK,All,10444,279.8
02/12/2022,Miami,TR,All,188,448.2
02/12/2022,New Orleans,All,All,3276,570.7
