apprehension_landmark,state,correct
OREGON STATE PENITENTIARY MINIMUM SECURITY FACILITY,NA,NA
OREGON STATE PENTENTIARY (OSP),NA,NA
PACIFIC COUNTY JAIL,NA,NA
PALMER CORRECTIONAL CENTERPALMER CORRECTIONAL CENTER,NA,NA
PIERCE CO. JAIL,NA,NA
PIERCE COUNTY JAIL,NA,NA
POLK COUNTY JAIL,NA,NA
"POM GENERAL AREA, NON-SPECIFIC",NA,NA
POO CAP NON-CUSTODIAL ARREST,NA,NA
"POO GENERAL AREA, NON-SPECIFIC",NA,NA
POO VCAS NON-CUSTODIAL ARREST,NA,NA
PORTALND NON-DETAINED ARREST,NA,NA
PORTLAND DETAINED DOCKET ARREST,NA,NA
PORTLAND FUGITIVE OPERATIONS STREET ARREST,NA,NA
PROSSER CITY JAIL,NA,NA
PUYALLUP CITY JAIL,NA,NA
"RCM GENERAL AREA, NON-SPECIFIC",NA,NA
REDDING SUB-OFFICE,NA,NA
REEVES COUNTY DETENTION CENTER 1 AND 2,NA,NA
REGIONAL JUSTICE CENTER,NA,NA
REMANN HALL JUVENILE,NA,NA
RICHLAND CAP,NA,NA
RICHLAND CAP STREET ARREST,NA,NA
RICHLAND DETAINED,NA,NA
RICHLAND NON DETAINED,NA,NA
ROGUE VALLEY YOUTH CORRECTIONS FACILTIY,NA,NA
"SAA GENERAL AREA, NON-SPECIFIC",NA,NA
SAN FRANCISCO DISTRICT OFFICE,NA,NA
SAN JUAN COUNTY SHERIFFS OFFICE HOLDING FACILITY,NA,NA
SANTIAM CORRECTIONAL INSTITUTION (SCI),NA,NA
SCORE (SOUTH CORRECTIONAL ENTITY),NA,NA
SEA CAP,NA,NA
"SEA GENERAL AREA, NON-SPECIFIC",NA,NA
SEATTLE DETAINED DOCKET ARREST,NA,NA
SEATTLE FUG OPS,NA,NA
SEATTLE FUGITIVE OPERATIONS STREET ARREST,NA,NA
SEATTLE NON-DETAINED ARREST,NA,NA
SEATTLE NON-DETAINED DOCKET,NA,NA
SEATTLE VCAS,NA,NA
SHELTON CORRECTIONS CENTER,NA,NA
SHELTON CORRECTONS CENTER,NA,NA
SHERIDAN BOP FCI,NA,NA
SHERIDAN BOP FDC,NA,NA
SHERIDAN FCI,NA,NA
SHUTTER CREEK CORRECTIONAL FACILITY (SCCI),NA,NA
SIERRA CONSERVATION CENTER,NA,NA
SITKA JAIL,NA,NA
SKAGIT COUNTY JAIL,NA,NA
SKAMANIA COUNTY JAIL,NA,NA
SNAKE RIVER CORRECTIONAL INSTITUTION (SRCI),NA,NA
SNOHOMISH COUNTY JAIL,NA,NA
SOUTHERN DESERT CORRECTIONAL CENTER (NDOC),NA,NA
"SPO GENERAL AREA, NON-SPECIFIC",NA,NA
SPOKANE CAP,NA,NA
SPOKANE CO. JAIL,NA,NA
SPOKANE NON DETAINED,NA,NA
SPRINDALE CITY JAIL,NA,NA
STAFFORD CREEK CORRECTIONS,NA,NA
STEVENS CO. JAIL,NA,NA
STREET ARREST,NA,NA
"SUM GENERAL AREA, NON-SPECIFIC",NA,NA
SUNNYSIDE CITY JAIL,NA,NA
"TAC GENERAL AREA, NON-SPECIFIC",NA,NA
TACOMA DETAINED DOCKET ARREST,NA,NA
TAFT FEDERAL CORRECTIONAL INSTITUTION,NA,NA
"TEXAS DEPT OF CRIMINAL JUSTICE, WALKER CO",NA,NA
THURSTON COUNTY JAIL,NA,NA
THURSTON COUNTY JUVENILE DETENTION CENTER,NA,NA
TILLAMOOK COUNTY JAIL,NA,NA
TOPPENISH CITY PD,NA,NA
TUCSON BORDER PATROL AZ STATE,NA,NA
TWO RIVERS CORRECTIONAL INSTITUTION (TRCI),NA,NA
UMATILLA CO. JAIL,NA,NA
UMATILLA COUNTY JAIL,NA,NA
UNALASKA CITY JAIL,NA,NA
UNION COUNTY JAIL,NA,NA
UNITED STATES MARSHALS SERVICE,NA,NA
UNITED STATES MARSHALS SERVICE (MULTNOMAH COUNTY),NA,NA
"UNK GENERAL AREA, NON-SPECIFIC",NA,NA
USBOP CI-MOSHANNON VALLEY,NA,NA
USBOP FCI-MCKEAN,NA,NA
VALDEZ JAIL,NA,NA
VCAS,NA,NA
VCAS STREET ARREST,NA,NA
WAHKIAKUM COUNTY JAIL,NA,NA
WALLA WALLA CO. JAIL,NA,NA
WAPATO CITY PD,NA,NA
"WAS GENERAL AREA, NON-SPECIFIC",NA,NA
WASHINGTON CORRECTION CENTER FOR WOMEN,NA,NA
WASHINGTON CORRECTIONS CENTER,NA,NA
WASHINGTON CORRECTIONS CENTER (SHELTON),NA,NA
WASHINGTON CORRECTIONS CTR.,NA,NA
WASHINGTON COUNTY JAIL,NA,NA
WASHINGTON DEPARTMENT OF CORRECTIONS,NA,NA
WASHINGTON STATE PENITENTIARY,NA,NA
WASHINGTON STATE REFORMATORY,NA,NA
WASHINTON COUNTY SHERIFF'S OFFICE,NA,NA
WENATCHEE CAP,NA,NA
WENATCHEE CITY PD,NA,NA
WENATCHEE NON DETAINED,NA,NA
WHATCOM COUNTY JAIL,NA,NA
WHITMAN CO. JAIL,NA,NA
WILDWOOD CORRECTIONAL CENTER,NA,NA
"WNT GENERAL AREA, NON-SPECIFIC",NA,NA
"XSE GENERAL AREA, NON-SPECIFIC",NA,NA
"YAK GENERAL AREA, NON-SPECIFIC",NA,NA
YAKIMA CAP,NA,NA
YAKIMA CITY JAIL,NA,NA
YAKIMA CO. JAIL,NA,NA
YAKIMA COUNTY JAIL,NA,NA
YAKIMA DETAINED DOCKET ARREST,NA,NA
YAKIMA FUG OPS,NA,NA
YAKIMA FUGITIVE OPERATIONS STREET ARREST,NA,NA
YAKIMA NON DETAINED ARREST,NA,NA
YAKIMA NON DETAINED DOCKET,NA,NA
YAKIMA SUB OFFICE,NA,NA
YAKIMA VCAS,NA,NA
YAMHILL COUNTY JAIL,NA,NA
YAMHILL JUVENILE CORRECTION DIVISION,NA,NA
NA,NA,NA
